phase,phase_num,phase_date,plan,exercise,exercise_normalized,settings,sets,reps,week,weight_kg,type,amrap,tr
Phase 1,1,2024-10-17,single,Beinpresse,Beinpresse,u8 o4,,12,1,75.0,2,,
Phase 1,1,2024-10-17,single,Beinpresse,Beinpresse,u8 o4,,12,2,80.0,2,,
Phase 1,1,2024-10-17,single,Beinpresse,Beinpresse,u8 o4,,12,3,85.0,2,,
Phase 1,1,2024-10-17,single,Beinpresse,Beinpresse,u8 o4,,12,4,90.0,2,,
Phase 1,1,2024-10-17,single,Kreuzheben KH,Kreuzheben KH,,,12,1,6.0,2,,
Phase 1,1,2024-10-17,single,Kreuzheben KH,Kreuzheben KH,,,12,2,7.0,2,,
Phase 1,1,2024-10-17,single,Kreuzheben KH,Kreuzheben KH,,,12,3,7.0,2,,
Phase 1,1,2024-10-17,single,Kreuzheben KH,Kreuzheben KH,,,12,4,8.0,2,,
Phase 1,1,2024-10-17,single,Rudern,Rudern,,,12,1,22.5,1,,
Phase 1,1,2024-10-17,single,Rudern,Rudern,,,12,2,25.0,1,,
Phase 1,1,2024-10-17,single,Rudern,Rudern,,,12,3,25.0,1,,
Phase 1,1,2024-10-17,single,Rudern,Rudern,,,12,4,27.5,1,,
Phase 1,1,2024-10-17,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,1,6.0,1,,
Phase 1,1,2024-10-17,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,2,7.0,1,,
Phase 1,1,2024-10-17,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,3,7.0,1,,
Phase 1,1,2024-10-17,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,4,8.0,1,,
Phase 2,2,2024-11-11,single,Beinpresse,Beinpresse,u8 o4,,12,1,75.0,2,,
Phase 2,2,2024-11-11,single,Beinpresse,Beinpresse,u8 o4,,12,2,80.0,2,,
Phase 2,2,2024-11-11,single,Beinpresse,Beinpresse,u8 o4,,12,3,85.0,2,,
Phase 2,2,2024-11-11,single,Beinpresse,Beinpresse,u8 o4,,12,4,87.5,2,,
Phase 2,2,2024-11-11,single,Bizepscurls,Bizepscurls,,,12,1,,1,,
Phase 2,2,2024-11-11,single,Bizepscurls,Bizepscurls,,,12,2,,1,,
Phase 2,2,2024-11-11,single,Bizepscurls,Bizepscurls,,,12,3,,1,,
Phase 2,2,2024-11-11,single,Bizepscurls,Bizepscurls,,,12,4,,1,,
Phase 2,2,2024-11-11,single,Butterfly reverse,Butterfly reverse,Pos.,,12,1,,1,,
Phase 2,2,2024-11-11,single,Butterfly reverse,Butterfly reverse,Pos.,,12,2,,1,,
Phase 2,2,2024-11-11,single,Butterfly reverse,Butterfly reverse,Pos.,,12,3,,1,,
Phase 2,2,2024-11-11,single,Butterfly reverse,Butterfly reverse,Pos.,,12,4,,1,,
Phase 2,2,2024-11-11,single,Kreuzheben KH,Kreuzheben KH,,,12,1,9.0,2,,
Phase 2,2,2024-11-11,single,Kreuzheben KH,Kreuzheben KH,,,12,2,10.0,2,,
Phase 2,2,2024-11-11,single,Kreuzheben KH,Kreuzheben KH,,,12,3,11.0,2,,
Phase 2,2,2024-11-11,single,Kreuzheben KH,Kreuzheben KH,,,12,4,12.0,2,,
Phase 2,2,2024-11-11,single,Rudern,Rudern,,,12,1,27.5,1,,
Phase 2,2,2024-11-11,single,Rudern,Rudern,,,12,2,30.0,1,,
Phase 2,2,2024-11-11,single,Rudern,Rudern,,,12,3,30.0,1,,
Phase 2,2,2024-11-11,single,Rudern,Rudern,,,12,4,32.5,1,,
Phase 2,2,2024-11-11,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,1,8.0,1,,
Phase 2,2,2024-11-11,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,2,9.0,1,,
Phase 2,2,2024-11-11,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,3,10.0,1,,
Phase 2,2,2024-11-11,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,12,4,11.0,1,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,1,70.0,2,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,2,75.0,2,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,3,80.0,2,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,4,85.0,2,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,5,87.5,2,,
Phase 3,3,2024-12-10,single,Beinpresse,Beinpresse,u8 o4,,10,6,90.0,2,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,1,5.0,1,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,2,5.5,1,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,3,6.0,1,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,4,6.0,1,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,5,6.5,1,,
Phase 3,3,2024-12-10,single,Bizepscurls,Bizepscurls,,,10,6,7.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,1,4.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,2,5.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,3,5.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,4,6.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,5,6.0,1,,
Phase 3,3,2024-12-10,single,Butterfly reverse,Butterfly reverse,Pos. 9,,10,6,7.0,1,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,1,10.0,2,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,2,11.0,2,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,3,11.0,2,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,4,12.0,2,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,5,12.0,2,,
Phase 3,3,2024-12-10,single,Kreuzheben KH,Kreuzheben KH,,,10,6,13.0,2,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,1,27.5,1,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,2,30.0,1,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,3,32.5,1,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,4,35.0,1,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,5,35.0,1,,
Phase 3,3,2024-12-10,single,Rudern,Rudern,,,10,6,37.5,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,1,9.0,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,2,10.0,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,3,10.5,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,4,11.0,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,5,11.5,1,,
Phase 3,3,2024-12-10,single,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,6,12.0,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,1,,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,2,,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,3,,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,4,,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,5,,1,,
Phase 4,4,2025-01-20,A,Bankdrücken,Bankdrücken,v1 h1,,10,6,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,1,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,2,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,3,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,4,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,5,,1,,
Phase 4,4,2025-01-20,A,Beinbeugen,Beinbeugen,,,10,6,,1,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,1,,2,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,2,,2,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,3,,2,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,4,,2,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,5,,2,,
Phase 4,4,2025-01-20,A,Kniebeuge Ma.,Kniebeuge Maschine,,,10,6,,2,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,1,,1,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,2,,1,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,3,,1,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,4,,1,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,5,,1,,
Phase 4,4,2025-01-20,A,Latzug,Latzug,,,10,6,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,1,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,2,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,3,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,4,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,5,,1,,
Phase 4,4,2025-01-20,A,Schulterdrücken,Schulterdrücken stehend,,,10,6,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,1,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,2,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,3,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,4,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,5,,1,,
Phase 4,4,2025-01-20,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos.,,10,6,,1,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,1,70.0,2,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,2,75.0,2,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,3,80.0,2,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,4,85.0,2,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,5,90.0,2,,
Phase 4,4,2025-01-20,B,Beinpresse,Beinpresse,u8 o4,,10,6,95.0,2,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,1,5.0,1,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,2,5.5,1,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,3,6.0,1,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,4,6.5,1,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,5,7.0,1,,
Phase 4,4,2025-01-20,B,Bizepscurls,Bizepscurls,,,10,6,7.5,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,1,5.0,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,2,5.0,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,3,6.0,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,4,6.0,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,5,7.0,1,,
Phase 4,4,2025-01-20,B,Butterfly reverse,Butterfly reverse,Pos. 9,,10,6,7.0,1,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,1,10.0,2,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,2,11.0,2,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,3,12.0,2,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,4,13.0,2,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,5,13.0,2,,
Phase 4,4,2025-01-20,B,Kreuzheben KH,Kreuzheben KH,,,10,6,14.0,2,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,1,27.5,1,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,2,30.0,1,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,3,32.5,1,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,4,35.0,1,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,5,35.0,1,,
Phase 4,4,2025-01-20,B,Rudern,Rudern,,,10,6,37.5,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,1,9.0,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,2,10.0,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,3,11.5,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,4,12.0,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,5,12.5,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,6,13.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,1,12.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,2,13.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,3,13.5,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,4,14.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,5,14.5,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,6,15.0,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,1,11.25,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,2,12.5,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,3,12.5,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,4,13.75,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,5,13.75,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,6,15.0,1,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,1,32.5,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,2,35.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,3,37.5,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,4,40.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,5,40.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,6,42.5,2,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,1,37.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,2,40.0,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,3,40.0,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,4,42.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,5,42.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,6,45.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,1,4.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,2,5.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,3,5.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,4,5.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,5,5.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,6,6.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,1,9.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,2,9.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,3,10.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,4,10.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,5,11.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,6,11.0,1,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,1,80.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,2,85.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,3,90.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,4,95.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,5,100.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,6,105.0,2,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,1,5.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,2,5.5,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,3,6.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,4,6.5,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,5,7.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,6,7.5,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,1,5.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,2,5.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,3,6.0,1,,
