phase,phase_num,phase_date,plan,exercise,exercise_normalized,settings,sets,reps,week,weight_kg,type,amrap,tr
Phase 8A,8,2025-07-14,A,Latzug,Latzug,,,6,5,47.5,1,,
Phase 8A,8,2025-07-14,A,Latzug,Latzug,,,6,6,50.0,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,1,6.0,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,2,6.5,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,3,7.0,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,4,7.5,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,5,7.5,1,,
Phase 8A,8,2025-07-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,6,8.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,1,10.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,2,11.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,3,12.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,4,13.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,5,13.0,1,,
Phase 8A,8,2025-07-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,,8,6,14.0,1,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,1,90.0,2,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,2,100.0,2,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,3,110.0,2,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,4,115.0,2,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,5,120.0,2,,
Phase 8A,8,2025-07-14,B,Beinpresse,Beinpresse,u8 o4,,6,6,125.0,2,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,1,7.0,1,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,2,7.5,1,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,3,8.0,1,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,4,8.5,1,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,5,8.5,1,,
Phase 8A,8,2025-07-14,B,Bizepscurls,Bizepscurls,,,8,6,9.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,1,6.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,2,6.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,3,7.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,4,7.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,5,8.0,1,,
Phase 8A,8,2025-07-14,B,Butterfly reverse,Butterfly reverse,pos. 9,,8,6,8.0,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,1,4.5,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,2,5.0,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,3,5.0,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,4,5.5,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,5,5.5,1,,
Phase 8A,8,2025-07-14,B,Kickbacks,Kickbacks,v3 h1,,8,6,6.0,1,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,1,17.0,2,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,2,18.0,2,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,3,19.0,2,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,4,20.0,2,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,5,21.0,2,,
Phase 8A,8,2025-07-14,B,Kreuzheben KH,Kreuzheben KH,,,8,6,22.5,2,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,1,32.5,1,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,2,35.0,1,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,3,37.5,1,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,4,40.0,1,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,5,40.0,1,,
Phase 8A,8,2025-07-14,B,Rudern,Rudern,,,6,6,42.5,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,1,13.0,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,2,14.0,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,3,15.0,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,4,16.0,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,5,17.0,1,,
Phase 8A,8,2025-07-14,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,6,6,18.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,1,14.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,2,15.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,3,16.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,4,17.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,5,18.0,1,,
Phase 9A,9,2025-08-25,A,Bankdrüken,Bankdrücken,v1 h1,4,6,6,19.0,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,1,12.5,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,2,13.75,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,3,15.0,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,4,16.25,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,5,16.25,1,,
Phase 9A,9,2025-08-25,A,Beinbeugen,Beinbeugen,,2,8,6,17.5,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,1,7.0,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,2,7.5,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,3,8.0,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,4,8.5,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,5,9.0,1,,
Phase 9A,9,2025-08-25,A,Hammercurls,Hammercurls,,2,8,6,9.5,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,1,47.5,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,2,52.5,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,3,55.0,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,4,57.5,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,5,60.0,1,,
Phase 9A,9,2025-08-25,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,4,6,6,62.5,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,1,42.5,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,2,45.0,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,3,47.5,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,4,50.0,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,5,52.5,1,,
Phase 9A,9,2025-08-25,A,Latzug,Latzug,,4,6,6,55.0,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,1,7.0,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,2,7.5,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,3,8.0,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,4,8.5,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,5,8.5,1,,
Phase 9A,9,2025-08-25,A,Schulterdrücken stehend,Schulterdrücken stehend,,2,8,6,9.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,1,11.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,2,12.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,3,13.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,4,14.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,5,14.0,1,,
Phase 9A,9,2025-08-25,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,2,8,6,15.0,1,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,1,90.0,2,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,2,100.0,2,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,3,110.0,2,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,4,115.0,2,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,5,120.0,2,,
Phase 9A,9,2025-08-25,B,Beinpresse,Beinpresse,u8 o4,4,6,6,125.0,2,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,1,7.0,1,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,2,7.5,1,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,3,8.0,1,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,4,8.5,1,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,5,9.0,1,,
Phase 9A,9,2025-08-25,B,Bizepscurls,Bizepscurls,,2,8,6,9.5,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,1,7.0,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,2,7.0,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,3,8.0,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,4,8.0,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,5,9.0,1,,
Phase 9A,9,2025-08-25,B,Butterfly reverse,Butterfly reverse,pos. 9,2,8,6,9.0,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,1,5.0,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,2,5.5,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,3,5.5,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,4,6.0,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,5,6.0,1,,
Phase 9A,9,2025-08-25,B,Kickbacks,Kickbacks,v3 h1,2,8,6,6.5,1,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,1,18.0,2,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,2,19.0,2,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,3,20.0,2,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,4,21.0,2,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,5,22.5,2,,
Phase 9A,9,2025-08-25,B,Kreuzheben KH,Kreuzheben KH,,2,8,6,23.5,2,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,1,35.0,1,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,2,37.5,1,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,3,40.0,1,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,4,42.5,1,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,5,42.5,1,,
Phase 9A,9,2025-08-25,B,Rudern,Rudern,,4,6,6,45.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,1,14.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,2,15.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,3,16.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,4,17.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,5,18.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,6,19.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,1,14.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,2,15.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,3,16.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,4,17.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,5,18.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,6,19.0,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,1,12.5,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,2,13.75,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,3,15.0,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,4,16.25,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,5,16.25,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,6,17.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,5,9.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,6,9.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,1,50.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,2,55.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,3,57.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,4,60.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,5,62.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,6,65.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,1,42.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,2,45.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,3,47.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,4,50.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,5,52.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,6,55.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,5,8.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,6,9.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,1,11.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,2,12.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,3,13.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,4,14.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,5,14.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,6,15.0,1,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,1,90.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,2,100.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,3,110.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,4,115.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,5,120.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,6,125.0,2,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,5,9.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,6,9.5,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,2,7.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,3,8.0,1,,
